Year,County,Condition,"Rate per 100,000"
2009,Chesterfield,Anaplasma/Ehrlichiosis,3.3
2009,Chesterfield,Campylobacteriosis,6.5
2009,Chesterfield,Cryptosporidiosis,0.3
2009,Chesterfield,"Escherichia coli infection, Shiga Toxin-Producing",1.6
2009,Chesterfield,Giardiasis,3.3
2009,Chesterfield,"Haemophilus influenzae, invasive",0.7
2009,Chesterfield,Hepatitis A,1.0
2009,Chesterfield,"Hepatitis B, acute",2.3
2009,Chesterfield,"Hepatitis B, chronic",18.6
2009,Chesterfield,"Hepatitis C, chronic",82.5
2009,Chesterfield,"Lead, elevated levels",1.6
2009,Chesterfield,Legionellosis,0.7
2009,Chesterfield,Listeriosis,0.3
2009,Chesterfield,Lyme disease,4.9
2009,Chesterfield,Malaria,1.0
2009,Chesterfield,Meningococcal disease,0.3
2009,Chesterfield,Pertussis,5.9
2009,Chesterfield,Salmonellosis,8.5
2009,Chesterfield,Shigellosis,1.3
2009,Chesterfield,Spotted Fever Rickettsiosis (including RMSF),1.6
2009,Chesterfield,"Streptococcus pneumoniae, invasive (age lt 5)",1.3
2009,Chesterfield,"Streptococcus, Group A, invasive",2.9
2009,Chesterfield,Tuberculosis,1.0
2009,Chesterfield,Varicella (Chickenpox),11.1
2009,Chesterfield,"Vibriosis, non-cholera",0.3
2009,Colonial Heights (city),Cryptosporidiosis,5.6
2009,Colonial Heights (city),"Escherichia coli infection, Shiga Toxin-Producing",5.6
2009,Colonial Heights (city),"Haemophilus influenzae, invasive",5.6
2009,Colonial Heights (city),"Hepatitis B, chronic",11.2
2009,Colonial Heights (city),"Hepatitis C, chronic",95.4
2009,Colonial Heights (city),Salmonellosis,16.8
2009,Colonial Heights (city),Varicella (Chickenpox),5.6
2009,Powhatan,Anaplasma/Ehrlichiosis,10.7
2009,Powhatan,Campylobacteriosis,42.9
2009,Powhatan,Giardiasis,3.6
2009,Powhatan,"Hepatitis B, chronic",21.5
2009,Powhatan,"Hepatitis C, chronic",425.5
2009,Powhatan,Lyme disease,3.6
2009,Powhatan,Pertussis,10.7
2009,Powhatan,Salmonellosis,17.9
2009,Powhatan,Spotted Fever Rickettsiosis (including RMSF),7.2
2009,Powhatan,Tuberculosis,3.6
2009,Powhatan,Varicella (Chickenpox),14.3
2009,Charles City,Campylobacteriosis,27.7
2009,Charles City,"Hepatitis B, chronic",13.9
2009,Charles City,"Hepatitis C, chronic",207.8
2009,Charles City,Lyme disease,13.9
2009,Charles City,Salmonellosis,83.1
2009,Charles City,Varicella (Chickenpox),41.6
2009,Goochland,Campylobacteriosis,18.8
2009,Goochland,Giardiasis,4.7
2009,Goochland,"Hepatitis C, chronic",380.1
2009,Goochland,Pertussis,4.7
2009,Goochland,Salmonellosis,32.8
2009,Goochland,Varicella (Chickenpox),18.8
2009,Hanover,Amebiasis,2.0
2009,Hanover,Campylobacteriosis,11.0
2009,Hanover,"Escherichia coli infection, Shiga Toxin-Producing",3.0
2009,Hanover,Giardiasis,10.0
2009,Hanover,"Haemophilus influenzae, invasive",1.0
2009,Hanover,Hemolytic uremic syndrome,1.0
2009,Hanover,Hepatitis A,2.0
2009,Hanover,"Hepatitis B, acute",2.0
2009,Hanover,"Hepatitis B, chronic",7.0
2009,Hanover,"Hepatitis C, chronic",96.1
2009,Hanover,"Lead, elevated levels",1.0
2009,Hanover,Lyme disease,8.0
2009,Hanover,Mumps,1.0
2009,Hanover,Pertussis,10.0
2009,Hanover,Salmonellosis,13.0
2009,Hanover,Shigellosis,2.0
2009,Hanover,Spotted Fever Rickettsiosis (including RMSF),1.0
2009,Hanover,Tuberculosis,3.0
2009,Hanover,Varicella (Chickenpox),4.0
2009,Hanover,"Vibriosis, non-cholera",1.0
2009,New Kent,Campylobacteriosis,5.5
