Year,State,Region,District,County,Condition,Population,Cases,"Rate per 100,000"
2009,Virginia,Central,Chesterfield,Chesterfield,Anaplasma/Ehrlichiosis,306670,10,3.3
2009,Virginia,Central,Chesterfield,Chesterfield,Campylobacteriosis,306670,20,6.5
2009,Virginia,Central,Chesterfield,Chesterfield,Cryptosporidiosis,306670,1,0.3
2009,Virginia,Central,Chesterfield,Chesterfield,"Escherichia coli infection, Shiga Toxin-Producing",306670,5,1.6
2009,Virginia,Central,Chesterfield,Chesterfield,Giardiasis,306670,10,3.3
2009,Virginia,Central,Chesterfield,Chesterfield,"Haemophilus influenzae, invasive",306670,2,0.7
2009,Virginia,Central,Chesterfield,Chesterfield,Hepatitis A,306670,3,1
2009,Virginia,Central,Chesterfield,Chesterfield,"Hepatitis B, acute",306670,7,2.3
2009,Virginia,Central,Chesterfield,Chesterfield,"Hepatitis B, chronic",306670,57,18.6
2009,Virginia,Central,Chesterfield,Chesterfield,"Hepatitis C, chronic",306670,253,82.5
2009,Virginia,Central,Chesterfield,Chesterfield,"Lead, elevated levels",306670,5,1.6
2009,Virginia,Central,Chesterfield,Chesterfield,Legionellosis,306670,2,0.7
2009,Virginia,Central,Chesterfield,Chesterfield,Listeriosis,306670,1,0.3
2009,Virginia,Central,Chesterfield,Chesterfield,Lyme disease,306670,15,4.9
2009,Virginia,Central,Chesterfield,Chesterfield,Malaria,306670,3,1
2009,Virginia,Central,Chesterfield,Chesterfield,Meningococcal disease,306670,1,0.3
2009,Virginia,Central,Chesterfield,Chesterfield,Pertussis,306670,18,5.9
2009,Virginia,Central,Chesterfield,Chesterfield,Salmonellosis,306670,26,8.5
2009,Virginia,Central,Chesterfield,Chesterfield,Shigellosis,306670,4,1.3
2009,Virginia,Central,Chesterfield,Chesterfield,Spotted Fever Rickettsiosis (including RMSF),306670,5,1.6
2009,Virginia,Central,Chesterfield,Chesterfield,"Streptococcus pneumoniae, invasive (age lt 5)",306670,4,1.3
2009,Virginia,Central,Chesterfield,Chesterfield,"Streptococcus, Group A, invasive",306670,9,2.9
2009,Virginia,Central,Chesterfield,Chesterfield,Tuberculosis,306670,3,1
2009,Virginia,Central,Chesterfield,Chesterfield,Varicella (Chickenpox),306670,34,11.1
2009,Virginia,Central,Chesterfield,Chesterfield,"Vibriosis, non-cholera",306670,1,0.3
2009,Virginia,Central,Chesterfield,Colonial Heights (city),Cryptosporidiosis,17823,1,5.6
2009,Virginia,Central,Chesterfield,Colonial Heights (city),"Escherichia coli infection, Shiga Toxin-Producing",17823,1,5.6
2009,Virginia,Central,Chesterfield,Colonial Heights (city),"Haemophilus influenzae, invasive",17823,1,5.6
2009,Virginia,Central,Chesterfield,Colonial Heights (city),"Hepatitis B, chronic",17823,2,11.2
2009,Virginia,Central,Chesterfield,Colonial Heights (city),"Hepatitis C, chronic",17823,17,95.4
2009,Virginia,Central,Chesterfield,Colonial Heights (city),Salmonellosis,17823,3,16.8
2009,Virginia,Central,Chesterfield,Colonial Heights (city),Varicella (Chickenpox),17823,1,5.6
2009,Virginia,Central,Chesterfield,Powhatan,Anaplasma/Ehrlichiosis,27964,3,10.7
2009,Virginia,Central,Chesterfield,Powhatan,Campylobacteriosis,27964,12,42.9
2009,Virginia,Central,Chesterfield,Powhatan,Giardiasis,27964,1,3.6
2009,Virginia,Central,Chesterfield,Powhatan,"Hepatitis B, chronic",27964,6,21.5
2009,Virginia,Central,Chesterfield,Powhatan,"Hepatitis C, chronic",27964,119,425.5
2009,Virginia,Central,Chesterfield,Powhatan,Lyme disease,27964,1,3.6
2009,Virginia,Central,Chesterfield,Powhatan,Pertussis,27964,3,10.7
2009,Virginia,Central,Chesterfield,Powhatan,Salmonellosis,27964,5,17.9
2009,Virginia,Central,Chesterfield,Powhatan,Spotted Fever Rickettsiosis (including RMSF),27964,2,7.2
2009,Virginia,Central,Chesterfield,Powhatan,Tuberculosis,27964,1,3.6
2009,Virginia,Central,Chesterfield,Powhatan,Varicella (Chickenpox),27964,4,14.3
